DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY
1986-04-29,Chile,Región Metropolitana de Santiago,Santiago,South America,Americas,Manuel Rodriguez Patriotic Front (FPMR),0,0,"Dozens of Chileans were arrested after bombs struck at least 13 targets, including a wall near the residence of U.S. Ambassador Harry Barnes, Jr. He was not injured in the attack, but several windows were broken. The Manuel Rodriguez Patriotic Front (FPMR) claimed responsibility for the attack, indicating that the act was an expression of solidarity with the Libyan people. ","-33.4377756,-70.6504502",Explosion
1986-04-29,Kuwait,,,,,,0,0,Kuwaiti security forces reportedly foiled the attempt by a group of 12 to hijack a Kuwait Airways 747 en route to an undisclosed east Asian country. The plan was to be carried out in 2 stages. During the first stage 4 members of the group were to board the plane at the Kuwaiti airport. Another 8 persons were to join them at an airport in another unspecified location. Sources confirmed that the 8 persons did arrive at the rendezvous airport as transit passengers several hours ahead of schedule. They carried a number of pistols and hand grenades. ,"29.2733964,47.4979476",Explosion
1986-04-28,Bolivia,,,South America,Americas,,0,0,"A bomb was discovered and deactivated in the ladies' bathroom of the Viru Viru International Airport in Santa Cruz. A U.S. Air Force Galaxy airplane, which transported military materiel for joint U.S. Bolivian maneuvers taking place in the region, was at the Viru Viru airport. 300 protesters shouting anti American slogans greeted American troops arriving at the airport the day the bomb was found. ","-17.0568696,-64.9912286",Explosion
1986-04-28,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,0,0,"Two Cypriot engineering students at the American University in Beirut were reported missing and feared kidnapped. The students, Stavros Yiannaki and Panayiotis Kirkas were believed abducted while on their way to school. The 2 were freed in good health and flown home on June 21, 1986 after the personal mediation of PLO Chairman Yasser Arafat in response to an appeal by Cypriot President Kyprianou. ","33.8959203,35.47843",Hostage
1986-04-27,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Abu Nidal Organization (ANO),0,1,"The Abu Nidal terrorist group claimed responsibility for the murder of British tourist Paul Appleby, who was visiting a religious shrine in Jerusalem. The victim was shot in the base of his skull by a small caliber pistol. The attack occurred during the Passover holiday. ","31.7788242,35.2257626",
1986-04-27,Lebanon,,,,,,1,1,"A French teacher, Richard Roger, was wounded and his companion, Sohra Doukan, an employee of the American University, was killed when militiamen opened fire at them from a roadblock. ","33.8750629,35.843409",
1986-04-26,Mexico,Mexico City,,Central America,Americas,Commando Internacionalista Simon Bolivar,0,0,"A caller tipped off police about a bomb in a car parked in front of the U.S. Embassy in Mexico City. The sophisticated device was defused 15 minutes before it was set to go off. The Simon Bolivar Anti Imperialist Commando claimed responsibility for the action, linking it to the U.S. air strike in Libya. ","19.4326296,-99.1331785",Explosion
1986-04-26,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,0,0,The British Bank of the Middle East was bombed in Beirut's Moslem controlled sector. The group 219 Fa' Ayn claimed responsibility and said the blast was in retaliation for Britain's role in the U S. attack on Libya. ,"33.8959203,35.47843",Explosion
1986-04-26,Austria,,,,,,0,0,A grenade was found taped to the door of the Kuwaiti Airlines in the same building in which a grenade had just gone off in front of the Saudi Arabian airlines offices. ,"47.59397,14.12456",Explosion
1986-04-25,Yemen,Sana'a Governorate,Sanaa,Western Asia,Asia,,1,0,"Arthur Pollick, a communications officer with the U.S. Embassy in Sanaa was wounded by an unidentified gunman while he was driving home. There was no claim made in connection with the incident. ","15.3538569,44.2058841",Assault
1986-04-25,France,Auvergne-Rhône-Alpes,Lyon,Western Europe,Europe,Arab Revolutionary Front,1,0,"A bomb exploded in the building housing the American Express and Control Data offices in Lyon. One person was injured by the explosion. On the walls of the building were spray painted slogans against the American firms Black & Decker, Control Data and American Express. Arab Revolutionary Front claimed responsibility. ","45.7578137,4.8320114",Explosion
1986-04-25,Austria,,,,,,0,0,"A hand grenade exploded outside the offices of Saudia, the Saudi Arabian airline, causing minor damage but no injuries. The blast occurred as Interior Minister Karl Blecha and Prince Nayif ibn Abdulaziz, the Saudi interior minister, were discussing possible joint efforts against terrorism. ","47.59397,14.12456",Explosion
a bomb rocked the embassy area and slightly damaged a passing tanker truck carrying gasoline. Another bomb was also found in the embassy area. ","12.7503486,122.7312101",Explosion
1970-03-01,Italy,Lazio,Rome,Southern Europe,Europe,Eritrean Liberation Front (ELF),0,0,A bomb was found in the luggage aboard an Ethiopian airliner in Rome. The device had been placed by members of the ELF. ,"41.8933203,12.4829321",Explosion
1970-02-23,United States,Connecticut,Hebron,Northern America,Americas,,0,1,Guerrillas ambushed a tourist bus near the occupied town of Hebron in the West Bank and killed an American woman. ,"42.4716853,-88.432318",
1970-02-21,Germany,,,Western Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"An Austrian Airlines Caravelle flying from Frankfurt to Vienna with 33 passengers and 5 crew was rocked 20 minutes after takeoff by a bomb detonated by an altimeter reading of 14000 feet. The bomb, placed in a mail bag intended to be carried on a flight to Israel later in the day, exploded in the cargo hold, creating a jagged 3 foot by 2 foot hole through the bottom of the fuselage. No 1 was injured. The PFLP claimed credit. ","51.0834196,10.4234469",Explosion
1970-02-21,Switzerland,,,,,Popular Front for the Liberation of Palestine (PFLP),0,47,"A bomb explodes in the rear of Swissair Flight 330, causing it to crash near Zurich, killing 38 passengers and all 9 crew members. The attack was carried out by Palestinian group PFLP GC ","46.7985624,8.2319736",Explosion
1970-02-13,Germany,Bavaria,Munich,Western Europe,Europe,,0,7,Seven Holocaust survivors die in an arson attack without clear responsibility. ,"48.1371079,11.5753822",
1970-02-10,Germany,Bavaria,Munich,Western Europe,Europe,PDFLP,23,1,"A bus carrying passengers to an El Al airplane at the Munich Riem Airport, West Germany was attacked by Palestinian terrorists. One person was killed and 23 were wounded in the attack. ","48.1371079,11.5753822",
1970-01-29,Japan,,,,,,0,0,A firebomb was thrown through the first floor window of the U.S. consular officer's office in Fukuoko. Police suspected a student extremist group. ,"36.5748441,139.2394179",Explosion
1970-01-24,Israel,,,,,Popular Front for the Liberation of Palestine (PFL),36,19,"Al Fatah and PFLP jointly claimed credit for the explosion of an ammunition truck unloading at a dock. Nineteen were killed, 36 injured. ","31.5313113,34.8667654",Explosion
1970-01-21,Philippines,Metro Manila,Manila,South-Eastern Asia,Asia,,3,0,A car bomb exploded behind the Joint U.S. Military Assistance Group headquarters in Manila. Three people were injured and the Message Center of the building was damaged. ,"14.5948914,120.9782618",Explosion
1970-01-20,Guatemala,Guatemala Department,Guatemala City,Central America,Americas,,0,1,Unidentified gunmen entered the British consulate in Guatemala City where they shot and killed the consul's bodyguard. ,"14.6222328,-90.5185188",Assault
1970-01-11,Ethiopia,,,,,Eritrean Liberation Front (ELF),0,1,Unidentified gunmen shot and killed an American soldier. The ELF was suspected of the shooting. ,"10.2116702,38.6521203",Assault
1970-01-09,France,Île-de-France,Paris,Western Europe,Europe,,0,0,"A TWA 707 airliner en route from Paris to Rome with 20 persons on board was hijacked to Beirut by a lone Frenchman, Christian Belon. He said that he wanted to spite Americans and Israelis for their aggression in the Middle East. Belon was taken into custody in Lebanon and later sentenced to 9 months in prison. Since he had already served the 9 months awaiting trial, he was promptly released and returned to France, where he was tried for illegal possession of weapons and sentenced to 8 months in prison. ","48.8588897,2.3200410217200766",
1970-01-05,Greece,Attica Region,Athens,Southern Europe,Europe,,0,0,An unexploded bomb was discovered in the men's room of the U.S. consular section of the embassy in Athens. ,"37.9839412,23.7283052",Explosion
1970-01-04,Italy,Piedmont,Turin,Southern Europe,Europe,,0,0,A bomb caused slight damage to the Turin branch of the Bank of America and Italy. ,"45.0677551,7.6824892",Explosion
1970-01-01,Uruguay,Montevideo Department,Montevideo,South America,Americas,VAR-Palmares,0,0,"Eight members of VAR Palmares, armed with hand grenades, knives and revolvers, hijacked a Brazilian Cruzeiro Airline flight en route from Montevideo to Rio de Janeiro. The plane was flown to Cuba. The hijackers stated that their purpose was to pay homage to the dead guerrilla leader, Che Guevara. ","-34.9058916,-56.1913095","Assault,Explosion"
1970-01-01,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,,0,0,An explosion of undetermined origin occurred at the entrance of the U.S. consulate general in Istanbul. Damage was limited to broken windows. ,"41.0091982,28.9662187",Explosion
1969-12-29,New Zealand,Wellington Region,Wellington,Australia and New Zealand,Oceania,,0,0,The butler at the Wellington home of the U.S. ambassador found 2 Molotov cocktails on the driveway outside the house. One had exploded. ,"-41.2887953,174.7772114",Explosion
1969-12-29,Philippines,,,,,,0,0,Philippine nationalists attempted to assassinate U.S. Vice President Spiro T. Agnew by throwing a bomb at his car. There was no damage. ,"12.7503486,122.7312101",Explosion
1969-12-21,Greece,Attica Region,Athens,Southern Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"Athens police arrested 3 Arabs as they were preparing to board a TWA plane bound for Rome and New York. The three, who had arms and explosives, said that they were members of the PFLP, and that they had received orders to divert the airplane to Tunis where they were to evacuate the passengers and blow up the plane. One of the hijackers confessed that he and his colleagues had planned to hijack the aircraft to Tunis, empty it of passengers, and then blow it up to warn the Americans to stop providing air communications with Israel. They were freed after the hijacking of an Olympic Airways plane to Cairo on July 22, l970. ","37.9839412,23.7283052",Explosion
1969-12-20,Turkey,Ankara Province,Ankara,Western Asia,Asia,,0,0,A small bomb exploded at the edge of property behind the USIS building in Ankara breaking 6 windows. ,"39.9207886,32.8540482",Explosion
1969-12-13,Germany,,,,,,0,0,"A bomb exploded outside a U.S. officer's club, causing slight damage. ","51.0834196,10.4234469",Explosion
1969-12-12,Spain,Madrid,Madrid,Southern Europe,Europe,Eritrean Liberation Front (ELF),0,0,"Two men armed with pistols and explosives were killed by plainclothes security guards as they attempted to hijack an Ethiopian Airlines jet shortly after takeoff from Madrid on a flight to Addis Ababa. In Damascus, the Eritrean Liberation Front (ELF) admitted that the 2 slain men were members of the ELF but claimed that they had not intended to hijack the airliner, merely to hand out leaflets. On December 10, Spanish police had arrested a third suspected ELF member at the Madrid airport for carrying explosives. ","40.4167047,-3.7035825",Explosion
1969-12-12,Germany,Berlin,,Western Europe,Europe,,0,0,A bomb was discovered in the West Berlin office of El Al. ,"52.5170365,13.3888599",Explosion
1969-12-05,Germany,,,Western Europe,Europe,,0,0,"Incendiary devices were thrown into the Frankfurt Amerika Haus, causing no fire damage. ","51.0834196,10.4234469",
1969-11-29,Australia,Australian Capital Territory,Canberra,Australia and New Zealand,Oceania,,0,0,Croatian extremists bombed the Yugoslav embassy in Canberra. ,"-35.2975906,149.1012676",Explosion
1969-11-27,Greece,Attica Region,Athens,Southern Europe,Europe,Palestinian Popular Struggle Front,13,1,"In a hand grenade attack on the El Al Israel Airlines office in Athens, a Greek child was killed and 13 people were wounded. Two Jordanian terrorists were sentenced to 11 year and 8 year jail terms, but they were freed after the hijacking of an Olympic Airways plane to Cairo on July 22, 1970. Mildos Dergarabedian was arrested in the United States in August 1979, and was deported as a member of an international terrorist group called the Palestinian Popular Struggle Front. He admitted that he was the 1 who tossed the hand grenade into the crowded airlines office in 1969. He apparently slipped through the U.S.immigration service's first line of defense by using his Palestinian first name, Mildos, on an application for a tourist visa. He had been convicted in Athens under his given Armenian name, Elias. ","37.9839412,23.7283052",Explosion
1969-11-20,Argentina,,,,,Fuerzas Armadas Peronistas (FAP),0,0,Offices of 15 foreign firms 9 U.S. owned were bombed. The FAP (Peronist Armed Forces) claimed responsibility. ,"-34.9964963,-64.9672817",Explosion
1969-11-09,Bolivia,La Paz Department,La Paz,South America,Americas,,0,0,A dynamite stick was thrown at the La Paz US Binational Center. ,"-16.4955455,-68.1336229",
1969-11-01,Japan,Tokyo,Tokyo,Eastern Asia,Asia,,0,0,A time bomb was placed near the reception desk of the American Cultural Center in Tokyo. It was found and dismantled. ,"35.6828387,139.7594549",Explosion
1969-10-26,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,0,0,"A small explosive charge detonated in Beirut under the car of the U.S. embassy regional communications officer, which was parked in front of his home. ","33.8959203,35.47843",Explosion
1969-10-25,Bolivia,La Paz Department,La Paz,South America,Americas,,0,0,A bomb exploded in front of the La Paz headquarters of the U.S. Peace Corps. ,"-16.4955455,-68.1336229",Explosion
1969-10-23,Peru,Lima,Lima,South America,Americas,,0,0,Five Molotov cocktails were thrown at the front doors of the U.S. embassy chancery in Lima. Only 1 bomb ignited. ,"-12.0621065,-77.0365256",Explosion
1969-10-14,Colombia,Capital District,Bogota,South America,Americas,,0,0,Unidentified gunmen fired on the Swiss embassy in Bogota. No 1 was wounded. ,"4.6533326,-74.083652",Assault
1969-10-08,Argentina,Santa Fe Province,Santa Fe,South America,Americas,,0,0,An office of Remington Rand was bombed in Santa Fe. ,"-30.3154739,-61.1645076",Explosion
1969-10-07,Argentina,Buenos Aires Province,Buenos Aires,South America,Americas,,0,0,The U.S. Information Service library in Buenos Aires was bombed. ,"-34.6075682,-58.4370894",Explosion
1969-10-06,Argentina,,,South America,Americas,,0,0,"A bomb damaged the offices of Squibb in Cordoba. There were 3 other bombings against American businesses in Cordoba the same day First National City Bank, Pepsi Cola, and Dunlop Tires. ","-34.9964963,-64.9672817",Explosion
1969-10-01,Ecuador,Pichincha Province,Quito,South America,Americas,,0,0,A large noise bomb was thrown from a small gray European car at the base of the wall adjoining the main entrance to the chancery of the U.S. embassy in Quito. ,"-0.2201641,-78.5123274",Explosion
1969-10-01,Canada,British Columbia,Vancouver,Northern America,Americas,,0,0,A firebomb was thrown against the door of the U.S. consulate general in Vancouver. ,"49.2608724,-123.113952",Explosion
1969-09-27,Bolivia,La Paz Department,La Paz,South America,Americas,,0,0,A man threw a bomb in front of the U.S. consul's home in La Paz. ,"-16.4955455,-68.1336229",Explosion
1969-09-20,Brazil,São Paulo,São Paulo,South America,Americas,,2,0,"Terrorists in 2 sedans pulled up in front of the U.S. consulate in Sao Paulo, dismounted, and forced the guard to kneel and forfeit his revolver. Two policemen arrived but were gunned down as they were leaving their car. ","-23.5506507,-46.6333824",Assault
1969-09-13,Italy,Sicily,Palermo,Southern Europe,Europe,,0,0,Two small Molotov cocktails were thrown at the entrance of the Palermo apartment building housing the American consul general. ,"38.1112268,13.3524434",
1969-09-13,Ethiopia,Addis Ababa,,Eastern Africa,Africa,Eritrean Liberation Front (ELF),0,0,"Three armed members of the Eritrean Liberation Front (ELF) hijacked an Ethiopian Airlines DC 6 with 66 passengers aboard. The flight, bound for Djibouti from Addis Ababa, was forced to land at Aden, Southern Yemen. One of the hijackers, Mohammed Sayed, 18, was shot by an Ethiopian secret police official who had been a passenger on the flight. Police captured the other 2 hijackers. ","9.0107934,38.7612525",
1969-09-12,Jordan,Amman Governorate,Amman,Western Asia,Asia,,0,0,"A bomb went off on the porch of the Amman home of the U.S. assistant army attache, causing no injuries and only slight damage. ","31.9515694,35.9239625",Explosion
1969-09-09,Ethiopia,,,Eastern Africa,Africa,Eritrean Liberation Front (ELF),0,0,"Murray E. Jackson, the American consul general in Asmara, was kidnapped, along with a British businessman, by members of the ELF. No ransom demands were made. After signing a document stating that he had been instructed in the ELF's objectives and that he had not been mistreated, Mr. Jackson was released several hours later. ","10.2116702,38.6521203",Hostage
1969-09-08,Germany,North Rhine-Westphalia,Bonn,Western Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"Two PFLP terrorists bombed the Israeli embassy in Bonn, causing minor damage. On Sept. 9, 1969 the PFLP claimed credit for the 3 coordinated attacks (Brussels, Bonn & The Hague). ","50.735851,7.10066",Explosion
1969-09-08,Belgium,Brussels-Capital Region,Brussels,Western Europe,Europe,Popular Front for the Liberation of Palestine (PFL),4,0,"Three Arabs recruited by Al Fatah, 2 of them teenage boys, threw hand grenades at the El Al Airlines office in Brussels. Four people were injured by flying glass. On Sept. 9, 1969 the PFLP claimed credit for the 3 coordinated attacks (Brussels, Bonn & The Hague). ","50.8465573,4.351697",Explosion
1969-09-08,Netherlands,,,Western Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"PFLP terrorists claimed credit for throwing hand grenades at the Israeli Embassy at The Hague. There were no injuries or damage. On Sept. 9, 1969 the PFLP claimed credit for the 3 coordinated attacks (Brussels, Bonn & The Hague). ","52.2288689,5.3214503",Explosion
1969-09-06,Ecuador,,,,,,1,1,"Twelve men and 1 woman armed with machine guns hijacked 2 Ecuadorean Air Force transport planes to Cuba. During a refueling stop in Colombia, shooting broke out and 1 co pilot was killed and 1 crew member wounded. One of the planes was abandoned in Colombia, while the other continued to Panama and on to Cuba. Passengers on the abandoned plane said the hijackers had explained their mission as a retaliatory act to protest the deaths of several students in anti government rioting in Guayaquil in May. ","-1.3397668,-79.3666965",Assault
1969-09-04,Brazil,Rio de Janeiro,Rio de Janeiro,South America,Americas,Revolutionary Movement of the 8th (MR-8),0,0,"Members of theRevolutionary Movement of the 8th (MR 8) and ALN (Action for National Liberation) kidnapped Charles Burke Elbrick, U.S. ambassador to Brazil, in Rio de Janeiro. The kidnappers took Elbrick from his car and left a ransom note demanding the release of 15 prisoners who were to be flown to Algeria, Chile, or Mexico, and the publication of an antigovernment manifesto. The kidnappers negotiated with the government by notes.On September 5, the government agreed to release the prisoners and authorized Brazilian newspapers to publish the manifesto. The deal was almost upset at the final moment when paratroopers in Rio de Janeiro attempted to prevent the plane carrying the prisoners from taking off. The paratroopers were ordered back to their barracks, however, and the plane left for Mexico on September 6. Ambassador Elbrick was released on September 7.Following the episode, Brazilian authorities initiated a roundup of leftist suspects, arresting as many as 4,000. This was the first of the diplomatic kidnappings, a practice that spread rapidly throughout Latin America in the next few years. ","-22.9110137,-43.2093727",Hostage
1969-09-03,Japan,Tokyo,Tokyo,Eastern Asia,Asia,,0,0,Two Molotov cocktails were thrown at the U.S. embassy in Tokyo. ,"35.6828387,139.7594549",
1969-08-29,France,Île-de-France,Paris,Western Europe,Europe,Popular Front for the Liberation of Palestine (PFL),4,0,"Two members of the PFLP hijacked a TWA flight 840 707 en route between Paris and Athens. The plane carried a crew of 12 and 101 passengers. Announcing to the passengers the Che Guevara Commando Unit of PFLP had taken command of the flight, they ordered the plane flown to Damascus, Syria, where the passengers managed to jump from the plane before a bomb went off and destroyed the plane. Four persons were injured. The PFLP said the hijacking and destruction of the TWA plane, plus the hijacking of an El Al Israel Airlines plane to Algeria in July l968, the attacks on El Al planes in Athens in December 1968 and in Zurich in February 1969, were all part of a plan to strike at imperialist interests within and outside the Arab world. They also asserted that the action was in reprisal for American assistance to Israel. The Syrians, holding 6 Israeli passengers, freed 105 passengers and crewmen who were flown to Athens and Rome. Four of the Israelis, all women, were released September 1 and were flown back to Israel. The 2 remaining Israelis were held by the PLO as hostages for the release of Syrian comrades held in Israeli prisons. Both hijackers, a woman, Leila A. Khaled, and Salim K. Essawi, were taken into Syrian custody. ","48.8588897,2.3200410217200766","Explosion,Hostage"
1969-08-25,United Kingdom,England,London,Northern Europe,Europe,Popular Front for the Liberation of Palestine (PFL),1,0,"Terrorists bombed the Israeli Zim Lines office in London, injuring 1 person. The PFLP claimed responsibility. ","51.5073219,-0.1276474",Explosion
1969-08-18,Egypt,Cairo Governorate,Cairo,Northern Africa,Africa,,0,0,"An Egyptian Misrair Anatov 24 flying from Cairo to Aswan was hijacked to an airstrip north of Jidda, Saudi Arabia by 6 hijackers. ","30.0443879,31.2357257",
1969-08-18,Denmark,Capital Region of Denmark,Copenhagen,Northern Europe,Europe,,0,0,The Israel Tourist Office in Copenhagen was bombed. ,"55.6867243,12.5700724",Explosion
1969-08-17,United Kingdom,England,London,Northern Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"PFLP terrorists planted incendiary bombs in Marks and Spencers, a department store in London. ","51.5073219,-0.1276474",Explosion
1969-08-09,Greece,Attica Region,Athens,Southern Europe,Europe,,0,0,Two American tourists were injured when a bomb exploded at an Olympic Airways facility in Athens. ,"37.9839412,23.7283052",Explosion
1969-08-08,India,,,Southern Asia,Asia,,0,0,An explosion at the Calcutta Post Office was directed at the USIS library. ,"22.3511148,78.6677428",Explosion
1969-08-07,Israel,,,,,Popular Front for the Liberation of Palestine (PFL),12,2,"Members of the PFLP set a bomb near El Hamma which blew up an Israeli bus, killing its civilian driver and a soldier and wounding 12 other soldiers. ","31.5313113,34.8667654",Explosion
1969-07-30,Japan,Tokyo,Tokyo,Eastern Asia,Asia,,0,0,A knife wielding Japanese youth made an unsuccessful assault on U.S. Ambassador to Japan A. H. Meyer as he was accompanying Secretary of State William Rogers to the Tokyo airport. ,"35.6828387,139.7594549",Assault
1969-07-23,Greece,Attica Region,Athens,Southern Europe,Europe,,0,0,A cleaning woman discovered an explosive device in the Athens USIS Library. It was set to explode when the library was vacant. ,"37.9839412,23.7283052",Explosion
1969-07-22,Philippines,Metro Manila,Manila,South-Eastern Asia,Asia,,0,1,Hand grenades were thrown at the USIS library and consulate building in Manila. One Filipino was killed. ,"14.5948914,120.9782618",Explosion
1969-07-22,Serbia,Belgrade,,Southern Europe,Europe,,0,0,Arson occurred in the Belgrade office of the U.S. Binational Commission Cultural Exchange during the night. ,"44.8178131,20.4568974",
1969-07-19,Sudan,Khartoum,,Northern Africa,Africa,,0,0,The USIS library in Khartoum was the target of a small bomb. ,"15.5635972,32.5349123",Explosion
1969-07-18,United Kingdom,England,London,Northern Europe,Europe,Popular Front for the Liberation of Palestine (PFL),0,0,"Terrorists fire bombed a second London department store known to have links with Israel. The PFLP later claimed responsibility and warned that there would be more bomb attacks on Jewish owned establishments in London and in the United States. PFLP leader George Habbash said, We shall expand our operations everywhere, in all parts of the world. The enemy camp includes not only Israel but also the Zionist movement, world imperialism led by the United States, and reactionary powers bound to imperialism. ","51.5073219,-0.1276474",Explosion
1969-07-17,India,,,Southern Asia,Asia,,2,0,Two time bombs exploded in the USIS reading room in the consulate section of the consulate general at Little Russel Street Annex in Calcutta. One library patron received a bruise on his ankle from a fragment and 1 USIS local employee received minor burns. ,"22.3511148,78.6677428",Explosion
1969-06-30,Germany,Berlin,,Western Europe,Europe,,2,0,"In an assassination attempt, a Croatian nationalist seriously wounded the head of the Yugoslav mission in West Berlin and injured 1 other person. ","52.5170365,13.3888599",
1969-06-26,Argentina,,,,,,0,0,A series of bombings occurred in stores of the U.S. owned Minimax supermarket chain during an official visit by New York State Governor Nelson Rockefeller. Total damage was estimated at $3 million. ,"-34.9964963,-64.9672817",Explosion
1969-06-24,Israel,Haifa District,Haifa,Western Asia,Asia,Popular Front for the Liberation of Palestine (PFL),0,0,A fire caused by a PFLP bomb burned 4 hours at an oil pipeline in Haifa. ,"32.8191218,34.9983856",Explosion
1969-06-20,Uruguay,Montevideo Department,Montevideo,South America,Americas,Tupamaros,0,0,"Two Tupamaro terrorists dressed in police uniforms attacked a facility of General Motors Corporation in Montevideo, causing damage estimated at 1000000 dollars. ","-34.9058916,-56.1913095",
1969-06-19,Argentina,Santa Fe Province,Rosario,South America,Americas,,0,0,Rosario students burned an American flag and threw explosives at the USIS building. ,"-32.9595004,-60.6615415",Explosion
1969-06-19,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,,0,0,"Palestinian terrorists bombed a power line in Jerusalem, partially blacking out the city. ","31.7788242,35.2257626",Explosion
1969-06-18,Pakistan,Sindh,Karachi,Southern Asia,Asia,Eritrean Liberation Front (ELF),0,0,"Three armed members of the Eritrean Liberation Front (ELF) attacked an Ethiopian airliner at the Karachi airport. Part of the Boeing 707 burned. No casualties were reported. The terrorists, all of whom were captured, told authorities that they carried out the attack to dramatize their opposition to Ethiopian rule in Eritrea. The 3 were convicted and sentenced to 1 year of hard labor.On July 31, the ELF issued a communique warning travelers that they would risk their lives if they flew on Ethiopian Airlines. The communique said that the ELF would resort to attacks on Ethiopian airliners in retaliation for Ethiopian Air Force attacks on Eritrean villages. ","24.8546842,67.0207055",
1969-06-18,Italy,Lazio,Rome,Southern Europe,Europe,Eritrean Liberation Front (ELF),0,0,An Eritrean student died when a bomb he was preparing in his room in Rome exploded. Leaflets in the room announced an impending attack by the Eritrean Liberation Front. ,"41.8933203,12.4829321",Explosion
1969-06-17,United States,California,Oakland,Northern America,Americas,Black Panther Party,0,0,"Willie Lee Brent, a Black Panther charged by the FBI with participating in a shoot out with police in San Francisco in 1968, hijacked a TransWorld Airlines jet, flight #154, carrying 87 persons from Oakland, California, to New York. The plane was diverted to Havana, Cuba. It was the longest U.S. hijacking to date.He was in jail in Cuba for 2 years. ","37.8044557,-122.2713563",
1969-06-11,Brazil,Ceará,Fortaleza,South America,Americas,,0,0,A USIS local employee discovered a tin containing 18 sticks of dynamite with sufficient explosive power to destroy the 2 story building housing the USIS offices in Fortaleza. Police considered the bomb professionally constructed. ,"-3.7304512,-38.5217989",Explosion
1969-06-11,Greece,Attica Region,Athens,Southern Europe,Europe,,0,0,A bomb wrecked the ticket booth of a theater outside the entrance to the Tameion building which houses USIS facilities in Athens. ,"37.9839412,23.7283052",Explosion
1969-06-09,Australia,New South Wales,Sydney,Australia and New Zealand,Oceania,,0,0,A bomb possibly planted by Croatian extremists exploded at the Yugoslav consulate in Sydney. There were no injuries. ,"-33.8698439,151.2082848",Explosion
1969-06-08,United States,New York,New York City,Northern America,Americas,Anti-Castro Cubans,0,0,A bomb exploded at the Loew's Orpheum Theater in New York City causing minor damage. Press reports alleged it was set off by anti Castro Cubans protesting the showing of the motion picture Che. ,"40.7127281,-74.0060152",Explosion
1969-06-08,Angola,,,,,,0,0,"Two Africans dressed in Portuguese Army uniform and armed with machine guns and grenades hijacked a Portuguese airliner in Angola and diverted it to Pointe Noire, Congo Republic. The plane was carrying 11 passengers and 5 crewmen aboard. The Portuguese petitioned Brazzaville on June 12 for the release of the DC 3 plane and personnel. The plane and 13 persons were released but 3 Portuguese military men were detained pending an investigation. ","-11.8775768,17.5691241","Assault,Explosion"
1969-05-30,Bolivia,La Paz Department,La Paz,South America,Americas,,0,0,A small explosive device was thrown from a moving car in La Paz and exploded against a side wall of the Bolivian American Center. ,"-16.4955455,-68.1336229",Explosion
1969-05-30,Jordan,,,,,Popular Front for the Liberation of Palestine (PFL),0,0,"The Trans Arabian Pipeline in Jordan was sabotaged. An explosive device caused a fire which blocked the flow of oil. A spokesman of the PFLP claimed that his group had intended to pollute water supplied to Israeli settlements and fisheries in Hutch Valley. Oil was reported to be seeping into the northern part of the Sea of Galilee, and oil slicks were seen on the Jordan River. The Israelis managed to contain the blaze after 14 hours. ","31.1667049,36.941628",Explosion
1969-05-20,Canada,Quebec,Montréal,Northern America,Americas,Anti-Castro Cubans,0,0,"Three Cuban refugees were arrested in New Jersey after they had attempted to bomb the Cuban consulate in Montreal. The 3 were members of the Cuban Nationalist Movement, a militant anti Castro organization. Indicted by a Grand Jury on June 4th for conspiracy to bomb Cuban government property in Montreal, the men were Felipe Martinez y Blanca, Guillermo Novo Sampol, and Hector Diaz Limontes. ","45.5031824,-73.5698065",Explosion
1969-04-01,Denmark,Capital Region of Denmark,Copenhagen,Northern Europe,Europe,,0,0,A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav embassy in Copenhagen. ,"55.6867243,12.5700724",Explosion
1969-03-12,Germany,Bavaria,Munich,Western Europe,Europe,,0,0,"A Molotov cocktail was thrown through a ground floor window of the Munich Amerika Haus, causing little damage. ","48.1371079,11.5753822",
1969-03-09,Germany,Berlin,Berlin,Western Europe,Europe,,0,0,"Molotov cocktails were thrown inside the American Memorial Library in Berlin, causing $2,000 damage. ","52.5170365,13.3888599",
1969-03-06,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Popular Front for the Liberation of Palestine (PFL),29,0,"Members of the PFLP were responsible for planting a bomb that exploded in the crowded cafeteria of the Hebrew University in Jerusalem, wounding 29 Israeli students. ","31.7788242,35.2257626",Explosion
